koordinatno_pretrazivanje,nelder_meade,hooke_jeves
"[-1.4111897832646334, 1.991456635458344];200","[1.0003536829497883, 1.0006509754830584];1628","[1.000493621826172, 1.0009880065917969];4338"
"[4.000000116317171, 2.0000000096930974];206","[4.000272621113032, 2.000175956060974];628","[3.999999618530273, 2.000000762939453];668"
"[1.0000002053031023, 1.9999999123251082, 3.0000000876748913];299","[0.9994959341723899, 2.000300828564379, 3.0003454383234818];1209","[1.0, 2.0, 3.0];425"
"[-1.0999998105475841, 1.0999996140635526];210","[4.1534804502343695e-07, 1.7859156839104515e-06];1214","[3.0999999999999996, 3.0999999999999996];249"
"[-1.4111897832646334, 1.991456635458344];200","[1.0003536829497883, 1.0006509754830584];1628","[1.000493621826172, 1.0009880065917969];4338"
"[4.000000116317171, 2.0000000096930974];206","[4.000272621113032, 2.000175956060974];628","[3.999999618530273, 2.000000762939453];668"
"[1.0000002053031023, 1.9999999123251082, 3.0000000876748913];299","[0.9994959341723899, 2.000300828564379, 3.0003454383234818];1209","[1.0, 2.0, 3.0];425"
"[-1.0999998105475841, 1.0999996140635526];210","[4.1534804502343695e-07, 1.7859156839104515e-06];1214","[3.0999999999999996, 3.0999999999999996];249"
"[-1.4111897832646334, 1.991456635458344];200","[1.0003536829497883, 1.0006509754830584];1628","[1.000493621826172, 1.0009880065917969];4338"
"[4.000000116317171, 2.0000000096930974];206","[4.000272621113032, 2.000175956060974];628","[3.999999618530273, 2.000000762939453];668"
"[1.0000002053031023, 1.9999999123251082, 3.0000000876748913];299","[0.9994959341723899, 2.000300828564379, 3.0003454383234818];1209","[1.0, 2.0, 3.0];425"
"[-1.0999998105475841, 1.0999996140635526];210","[4.1534804502343695e-07, 1.7859156839104515e-06];1214","[3.0999999999999996, 3.0999999999999996];249"
