T = 0.01, diferential_interval = [0, 10]
I0: starting state variable [1.0, 1.0], t_i = 0.0
I100: state variable [1.3748906239699583, -0.2996205423607391], t_i = 1.0
I200: state variable [0.48833040479740536, -1.3122213536785525], t_i = 2.0
I300: state variable [-0.8361211176067749, -1.1143535388756707], t_i = 3.0
I400: state variable [-1.3825267332258333, 0.1009315635745408], t_i = 4.0
I500: state variable [-0.6587893015109422, 1.2117925715695508], t_i = 5.0
I600: state variable [0.6603918831854252, 1.2030771694821534], t_i = 6.0
I700: state variable [1.3623328941911264, 0.09389965183155548], t_i = 7.0
I800: state variable [0.8110559089111604, -1.0901370786473323], t_i = 8.0
I900: state variable [-0.47667127883077, -1.2651569807562908], t_i = 9.0
I1000: state variable [-1.3155349281633861, -0.28109703543751624], t_i = 10.0
Approximation_error for PE_CE_2 method: [21.732969042431254, 22.829150399002405]
