T = 0.01, diferential_interval = [0, 10]
I0: starting state variable [1.0, 1.0], t_i = 0.0
I100: state variable [1.3817684438777877, -0.3011917454108289], t_i = 1.0
I200: state variable [0.49310653313125447, -1.3254610318615654], t_i = 2.0
I300: state variable [-0.848929359756482, -1.131070485046803], t_i = 3.0
I400: state variable [-1.410439941205231, 0.1032529527615687], t_i = 4.0
I500: state variable [-0.6751589630646305, 1.2426435026165195], t_i = 5.0
I600: state variable [0.6808792505665054, 1.2395186348539655], t_i = 6.0
I700: state variable [1.4109013844862035, 0.09675114086133671], t_i = 7.0
I800: state variable [0.8437077391242227, -1.1349719163688077], t_i = 8.0
I900: state variable [-0.4992108139977177, -1.323175371291647], t_i = 9.0
I1000: state variable [-1.3831435232798397, -0.2948202740912988], t_i = 10.0
Approximation_error for PE_CE method: [0.0775104874432554, 0.07352949871168335]
