T = 0.01, diferential_interval = [0, 10]
I0: starting state variable [1.0, 1.0], t_i = 0.0
I100: state variable [1.374891998861273, -0.29962084198143213], t_i = 1.0
I200: state variable [0.48833138145919386, -1.3122239781238918], t_i = 2.0
I300: state variable [-0.8361236259738973, -1.1143568819413108], t_i = 3.0
I400: state variable [-1.3825322633438444, 0.10093196730160509], t_i = 4.0
I500: state variable [-0.6587925954656938, 1.2117986305475765], t_i = 5.0
I600: state variable [0.6603958455486271, 1.2030843879668505], t_i = 6.0
I700: state variable [1.3623424305547953, 0.09390030913141868], t_i = 7.0
I800: state variable [0.8110623973844059, -1.0901457997788766], t_i = 8.0
I900: state variable [-0.47667556889160145, -1.2651683672203937], t_i = 9.0
I1000: state variable [-1.3155480835784896, -0.2810998464219318], t_i = 10.0
Approximation_error for Backward-Euler method: [21.728697740803277, 22.824657729507948]
