T = 0.01, diferential_interval = [0, 10]
I0: starting state variable [1.0, 1.0], t_i = 0.0
I100: state variable [1.3817732907001727, -0.30116867882440396], t_i = 1.0
I200: state variable [0.49315059049875387, -1.325444263288795], t_i = 2.0
I300: state variable [-0.8488724882560419, -1.1311125048701667], t_i = 3.0
I400: state variable [-1.410446116202006, 0.1031588739738983], t_i = 4.0
I500: state variable [-0.6752620897152928, 1.2425864598407008], t_i = 5.0
I600: state variable [0.6807547878288331, 1.2395857851844914], t_i = 6.0
I700: state variable [1.4108888529987025, 0.09691565644703279], t_i = 7.0
I800: state variable [0.8438582135666236, -1.134858279863138], t_i = 8.0
I900: state variable [-0.499011775647401, -1.323248747492407], t_i = 9.0
I1000: state variable [-1.38309263971035, -0.29505041933756837], t_i = 10.0
Approximation_error for Runge-Kutta method: [3.8759738174229397e-07, 3.676111794415071e-07]
