T = 0.01, diferential_interval = [0, 10]
I0: starting state variable [1.0, 1.0], t_i = 0.0
I100: state variable [1.3817758003294005, -0.3011571643245927], t_i = 1.0
I200: state variable [0.49317268061640845, -1.3254360441355162], t_i = 2.0
I300: state variable [-0.8488442108868602, -1.1311337258007375], t_i = 3.0
I400: state variable [-1.4104495539655446, 0.10311186022168432], t_i = 4.0
I500: state variable [-0.6753138622729783, 1.2425583235494109], t_i = 5.0
I600: state variable [0.6806928092409773, 1.2396198205287017], t_i = 6.0
I700: state variable [1.4108831973332439, 0.09699795607484236], t_i = 7.0
I800: state variable [0.8439338670233751, -1.1348020215398489], t_i = 8.0
I900: state variable [-0.4989125330721777, -1.3232861687267325], t_i = 9.0
I1000: state variable [-1.3830680479975348, -0.29516567315366193], t_i = 10.0
Approximation_error for Trapezoidal rule method: [0.038718155011442025, 0.03679254977354917]
